variable,data-type,data-import-class,description
X,numeric,numeric,Longitude
Y,numeric,numeric,Latitude
Unique.Squirrel.ID,character,character,"Identification tag for each squirrel sightings. The tag is comprised of ""Hectare ID"" + ""Shift"" + ""Date"" + ""Hectare Squirrel Number."""
Hectare,character,character,"ID tag, which is derived from the hectare grid used to divide and count the park area. One axis that runs predominantly north-to-south is numerical (1-42), and the axis that runs predominantly east-to-west is roman characters (A-I)."
Shift,character,character,"Value is either ""AM"" or ""PM,"" to communicate whether or not the sighting session occurred in the morning or late afternoon."
Date,numeric,character,Concatenation of the sighting session day and month.
Hectare.Squirrel.Number,numeric,numeric,Number within the chronological sequence of squirrel sightings for a discrete sighting session.
Age,character,factor,"Value is either ""Adult"" or ""Juvenile."""
Primary.Fur.Color,character,factor,"Value is either ""Gray,"" ""Cinnamon"" or ""Black."""
Highlight.Fur.Color,character,factor,"Discrete value or string values comprised of ""Gray,"" ""Cinnamon"" or ""Black."""
Combination.of.Primary.and.Highlight.Color,character,factor,A combination of the previous two columns; this column gives the total permutations of primary and highlight colors observed.
Color.notes,character,character,Sighters occasionally added commentary on the squirrel fur conditions. These notes are provided here.
Location,character,factor,"Value is either ""Ground Plane"" or ""Above Ground."" Sighters were instructed to indicate the location of where the squirrel was when first sighted."
Above.Ground.Sighter.Measurement,numeric,numeric,"For squirrel sightings on the ground plane, fields were populated with a value of 0."
Specific.Location,character,character,Sighters occasionally added commentary on the squirrel location. These notes are provided here.
Running,logical,logical,Squirrel was seen running.
Chasing,logical,logical,Squirrel was seen chasing.
Climbing,logical,logical,Squirrel was seen climbing.
Eating,logical,logical,Squirrel was seen eating.
Foraging,logical,logical,Squirrel was seen foraging.
Other.Activities,character,character,Other activities
Kuks,logical,logical,"Squirrel was heard kukking, a chirpy vocal communication used for a variety of reasons."
Quaas,logical,logical,"Squirrel was heard quaaing, an elongated vocal communication which can indicate the presence of a ground predator such as a dog."
Moans,logical,logical,"Squirrel was heard moaning, a high-pitched vocal communication which can indicate the presence of an air predator such as a hawk."
Tail.flags,logical,logical,Squirrel was seen flagging its tail. Flagging is a whipping motion used to exaggerate squirrel's size and confuse rivals or predators. Looks as if the squirrel is scribbling with tail into the air.
Tail.twitches,logical,logical,Squirrel was seen flagging its tail. Flagging is a whipping motion used to exaggerate squirrel's size and confuse rivals or predators. Looks as if the squirrel is scribbling with tail into the air.
Approaches,logical,logical,"Squirrel was seen approaching human, seeking food."
Indifferent,logical,logical,Squirrel was indifferent to human presence.
Runs.from,logical,logical,".Squirrel was seen running from humans, seeing them as a threat."
Other.Interactions,character,character,Sighter notes on other types of interactions between squirrels and humans.
Lat.Long,character,character,Combined lat long